LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,30.05
BEL,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,6.68
CZE,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,10.47
DNK,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,29.97
FIN,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,31.19
FRA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,9.55
DEU,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,12.71
GRC,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,12.07
HUN,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,11.45
IRL,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,7.88
ITA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,17.35
LUX,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,5.61
NLD,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,4.94
POL,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,8.5
PRT,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,24.26
SVK,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,9.58
ESP,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,14.5
SWE,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,36.96
GBR,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,8.2
EST,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,17.56
LVA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,39.06
SVN,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,16.75
OECD,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,9.74
