country,HPI,population,GDPpcap,lifeExp,region
Afghanistan,20.2,29726803,691,59.7,Middle East and North Africa
Albania,36.8,2900489,4247,77.3,Post-communist
Algeria,33.3,37439427,5584,74.3,Middle East and North Africa
Argentina,35.2,42095224,14357,75.9,Americas
Armenia,25.7,2978339,3566,74.4,Post-communist
Australia,21.2,22728254,67646,82.1,Asia Pacific
Austria,30.5,8429991,48324,81.0,Europe
Bangladesh,38.4,155257387,859,70.8,Asia Pacific
Belarus,21.7,9464000,6722,70.9,Post-communist
Belgium,23.7,11128246,44731,80.4,Europe
Belize,33.8,336707,4674,69.8,Americas
Benin,13.4,10049792,808,59.2,Sub Saharan Africa
Bhutan,28.6,743711,2452,68.7,Asia Pacific
Bolivia,23.3,10238762,2645,67.5,Americas
Bosnia and Herzegovina,25.3,3828419,4495,76.2,Post-communist
Botswana,16.6,2132822,6936,64.2,Sub Saharan Africa
Brazil,34.3,202401584,12157,73.9,Americas
Bulgaria,20.4,7305888,7333,73.9,Post-communist
Burkina Faso,17.9,16590813,673,58.0,Sub Saharan Africa
Burundi,15.6,10124572,244,55.8,Sub Saharan Africa
Cambodia,25.6,14832255,946,67.5,Asia Pacific
Cameroon,16.7,21659488,1222,54.6,Sub Saharan Africa
Canada,23.9,34751476,52738,81.7,Americas
Chad,12.8,12715465,973,50.8,Sub Saharan Africa
Chile,31.7,17388437,15253,81.1,Americas
Colombia,40.7,46881018,7885,73.7,Americas
Comoros,23.1,733661,750,62.6,Sub Saharan Africa
Costa Rica,44.7,4654148,9733,79.1,Americas
Cote d'Ivoire,14.4,21102641,1281,50.8,Sub Saharan Africa
Croatia,30.2,4267558,13236,77.0,Post-communist
Cyprus,30.7,1129303,28868,79.8,Europe
Czech Republic,27.3,10510785,19641,78.2,Post-communist
Denmark,32.7,5591572,57636,79.8,Europe
Djibouti,16.4,853069,1587,61.3,Sub Saharan Africa
Dominican Republic,30.3,10155036,5967,73.1,Americas
Ecuador,37.0,15419493,5702,75.4,Americas
Egypt,23.8,85660902,3226,70.7,Middle East and North Africa
El Salvador,35.6,6072233,3922,72.5,Americas
Estonia,17.9,1322696,17491,76.2,Post-communist
Ethiopia,26.7,92191211,470,62.8,Sub Saharan Africa
Finland,31.3,5413971,47416,80.4,Europe
France,30.4,65639975,40850,81.8,Europe
Gabon,17.5,1613489,10642,63.3,Sub Saharan Africa
Georgia,31.1,3825000,4143,74.6,Post-communist
Germany,29.8,80425823,44011,80.6,Europe
Ghana,21.4,25544565,1642,61.0,Sub Saharan Africa
Greece,23.6,11045011,22243,80.5,Europe
Guatemala,34.2,15368759,3279,71.4,Americas
Guinea,15.9,11628767,487,57.7,Sub Saharan Africa
Haiti,28.6,10288828,767,62.1,Americas
Honduras,27.2,7736131,2395,72.8,Americas
Hong Kong,16.8,7154600,36708,83.6,Asia Pacific
Hungary,26.4,9920362,12820,74.9,Post-communist
Iceland,31.1,320716,44259,82.2,Europe
Indonesia,35.7,248037853,3701,68.5,Asia Pacific
Iran,24.0,76156975,7711,74.8,Middle East and North Africa
Iraq,26.5,32780975,6649,69.0,Middle East and North Africa
Ireland,30.0,4586897,48977,80.5,Europe
Israel,28.8,7910500,32819,81.9,Middle East and North Africa
Italy,28.1,59539717,34844,82.7,Europe
Jamaica,36.9,2707805,5446,75.3,Americas
Japan,28.3,127561489,46679,83.2,Asia Pacific
Kazakhstan,19.1,16791425,12120,68.6,Post-communist
Kenya,24.2,42542978,1185,60.3,Sub Saharan Africa
Kyrgyzstan,33.1,5607200,1178,69.7,Post-communist
Latvia,17.1,2034319,13775,73.6,Post-communist
Lebanon,21.9,4440728,9729,78.8,Middle East and North Africa
Lesotho,16.7,2057331,1159,48.9,Sub Saharan Africa
Liberia,22.2,4190155,414,60.2,Sub Saharan Africa
Lithuania,21.0,2987773,14343,72.8,Post-communist
Luxembourg,13.2,530946,105447,81.1,Europe
Macedonia,23.4,2069270,4710,75.1,Post-communist
Malawi,22.1,15700436,270,60.1,Sub Saharan Africa
Malaysia,30.3,29021940,10835,74.4,Asia Pacific
Malta,29.0,419455,21176,80.2,Europe
Mauritania,18.0,3777067,1283,62.6,Sub Saharan Africa
Mauritius,27.4,1255882,9114,74.0,Sub Saharan Africa
Mexico,40.7,122070963,9703,76.4,Americas
Mongolia,14.3,2808339,4377,68.6,Asia Pacific
Montenegro,25.1,620601,6587,75.8,Post-communist
Morocco,32.7,32984190,2931,73.4,Middle East and North Africa
Mozambique,23.7,25732928,565,54.3,Sub Saharan Africa
Myanmar,24.7,52543841,1421,65.5,Asia Pacific
Namibia,21.6,2291645,5680,64.0,Sub Saharan Africa
Nepal,30.5,27500515,685,68.8,Asia Pacific
Netherlands,35.3,16754962,49475,81.2,Europe
New Zealand,31.3,4408100,39505,81.4,Asia Pacific
Nicaragua,38.7,5877034,1780,74.3,Americas
Niger,16.8,17635782,394,60.0,Sub Saharan Africa
Nigeria,22.2,168240403,2740,52.1,Sub Saharan Africa
Norway,36.8,5018573,101564,81.3,Europe
Oman,21.1,3545192,21534,76.3,Middle East and North Africa
Pakistan,31.5,177392252,1266,65.7,Asia Pacific
Palestine,34.5,4046901,2783,72.6,Middle East and North Africa
Panama,39.5,3743761,10139,77.2,Americas
Paraguay,23.3,6379162,3858,72.6,Americas
Peru,34.6,30158768,6389,74.1,Americas
Philippines,35.0,96017322,2605,67.9,Asia Pacific
Poland,27.5,38063164,13142,76.9,Post-communist
Portugal,24.8,10514844,20577,80.3,Europe
Republic of Congo,18.8,4286188,3191,61.0,Sub Saharan Africa
Romania,28.8,20058035,8577,74.3,Post-communist
Russia,18.7,143201676,14079,69.5,Post-communist
Rwanda,19.6,10817350,667,63.1,Sub Saharan Africa
Senegal,21.9,13780108,1019,65.4,Sub Saharan Africa
Serbia,29.0,7199077,5659,74.5,Post-communist
Sierra Leone,15.3,6043157,619,49.8,Sub Saharan Africa
Slovakia,28.2,5407579,17207,75.9,Post-communist
Slovenia,24.6,2057159,22478,80.0,Post-communist
South Africa,15.9,52341695,7592,56.3,Sub Saharan Africa
South Korea,24.8,50004441,24454,81.3,Asia Pacific
Spain,36.0,46773055,28648,82.2,Europe
Sri Lanka,33.8,20424000,3351,74.6,Asia Pacific
Suriname,25.4,528535,9422,70.8,Americas
Swaziland,15.5,1231694,3989,48.9,Sub Saharan Africa
Sweden,28.0,9519374,57134,81.8,Europe
Switzerland,34.3,7996861,83209,82.6,Europe
Syria,19.1,21427155,2080,70.4,Middle East and North Africa
Tajikistan,34.2,7930929,962,69.0,Post-communist
Tanzania,22.1,48645709,828,63.5,Sub Saharan Africa
Thailand,37.3,67164130,5918,74.1,Asia Pacific
Togo,13.2,6745581,580,58.6,Sub Saharan Africa
Trinidad and Tobago,15.7,1341579,18322,70.1,Americas
Tunisia,26.2,10777500,4188,74.6,Middle East and North Africa
Turkey,26.4,74099255,10646,74.7,Middle East and North Africa
Turkmenistan,14.6,5172941,6798,65.3,Post-communist
Uganda,19.4,35400620,656,57.1,Sub Saharan Africa
Ukraine,26.4,45593300,3855,70.3,Post-communist
United Kingdom,31.9,63700300,41295,80.4,Europe
United States of America,20.7,314112078,51457,78.8,Americas
Uruguay,36.1,3396753,15128,76.9,Americas
Uzbekistan,29.1,29774500,1719,68.2,Post-communist
Vanuatu,40.6,247498,3158,71.3,Asia Pacific
Venezuela,33.6,29854238,12772,73.9,Americas
Vietnam,40.3,88809200,1755,75.5,Asia Pacific
Yemen,22.8,24882792,1289,63.3,Middle East and North Africa
Zambia,25.2,14786581,1687,58.4,Sub Saharan Africa
Zimbabwe,22.1,14565482,851,53.7,Sub Saharan Africa
